iter	Passed	Remaining
0	3	3594
1	6	3241
2	8	3057
3	11	3035
4	15	3158
5	18	3219
6	21	3236
7	24	3230
8	28	3307
9	31	3255
10	33	3203
11	36	3190
12	39	3137
13	42	3131
14	44	3110
15	47	3111
16	50	3095
17	53	3079
18	56	3065
19	58	3047
20	61	3038
21	64	3013
22	66	2989
23	69	2976
24	72	2993
25	75	2993
26	78	2989
27	81	2969
28	83	2962
29	86	2946
30	89	2937
31	91	2931
32	94	2925
33	98	2941
34	99	2906
35	102	2888
36	103	2857
37	106	2856
38	109	2852
39	112	2842
40	114	2834
41	117	2835
42	120	2831
43	123	2832
44	126	2826
45	128	2821
46	131	2809
47	133	2807
48	136	2802
49	139	2792
50	140	2765
51	143	2756
52	145	2756
53	148	2753
54	152	2765
55	153	2742
56	156	2742
57	159	2734
58	160	2713
59	163	2709
60	165	2700
61	168	2703
62	172	2706
63	174	2706
64	177	2700
65	180	2699
66	182	2683
67	185	2683
68	187	2683
69	190	2680
70	193	2676
71	196	2676
72	198	2673
73	201	2674
74	204	2671
75	207	2667
76	210	2664
77	212	2663
78	215	2662
79	219	2669
80	222	2667
81	224	2665
82	227	2664
83	231	2667
84	233	2664
85	236	2662
86	239	2659
87	240	2645
88	243	2643
89	246	2640
90	249	2640
91	253	2649
92	256	2645
93	258	2643
94	261	2640
95	264	2636
96	266	2634
97	270	2640
98	273	2633
99	275	2631
100	278	2628
101	281	2623
102	283	2617
103	286	2614
104	288	2608
105	292	2613
106	294	2608
107	298	2610
108	300	2607
109	303	2601
110	305	2595
111	308	2593
112	310	2588
113	313	2584
114	317	2590
115	320	2589
116	322	2584
117	325	2583
118	328	2578
119	330	2574
120	333	2570
121	336	2570
122	339	2568
123	342	2565
124	344	2558
125	347	2557
126	350	2555
127	352	2551
128	356	2556
129	360	2561
130	364	2568
131	368	2574
132	371	2569
133	373	2564
134	376	2560
135	378	2556
136	381	2554
137	384	2549
138	386	2545
139	389	2541
140	392	2538
141	394	2536
142	397	2531
143	400	2529
144	403	2528
145	405	2524
146	408	2522
147	411	2521
148	414	2516
149	417	2514
150	419	2511
151	422	2507
152	425	2506
153	428	2502
154	430	2498
155	433	2494
156	435	2490
157	439	2493
158	443	2495
159	445	2489
160	448	2486
161	450	2481
162	454	2483
163	456	2479
164	459	2476
165	462	2473
166	465	2469
167	467	2466
168	471	2468
169	474	2465
170	477	2463
171	479	2460
172	482	2458
173	485	2456
174	488	2453
175	491	2452
176	494	2449
177	497	2445
178	499	2442
179	502	2439
180	505	2436
181	508	2438
182	511	2434
183	514	2431
184	517	2432
185	520	2428
186	523	2426
187	526	2423
188	528	2420
189	532	2419
190	534	2415
191	537	2411
192	539	2408
193	542	2406
194	545	2402
195	548	2400
196	550	2396
197	553	2394
198	556	2392
199	559	2390
200	562	2388
201	565	2384
202	568	2384
203	571	2381
204	574	2377
205	576	2374
206	579	2370
207	582	2367
208	584	2364
209	587	2361
210	590	2359
211	594	2361
212	598	2364
213	601	2360
214	604	2358
215	607	2355
216	609	2352
217	612	2349
218	616	2348
219	618	2346
220	621	2343
221	625	2344
222	628	2341
223	631	2338
224	633	2334
225	636	2331
226	639	2328
227	641	2325
228	644	2322
229	648	2322
230	650	2319
231	653	2315
232	656	2312
233	658	2308
234	661	2305
235	664	2301
236	666	2299
237	670	2299
238	673	2295
239	676	2293
240	678	2290
241	681	2287
242	685	2288
243	688	2286
244	691	2282
245	693	2278
246	697	2279
247	700	2275
248	702	2271
249	705	2269
250	708	2266
251	711	2263
252	714	2261
253	716	2256
254	718	2252
255	721	2249
256	724	2246
257	726	2242
258	730	2240
259	732	2238
260	737	2239
261	740	2237
262	743	2235
263	746	2233
264	749	2231
265	752	2228
266	755	2226
267	757	2223
268	761	2222
269	764	2220
270	767	2217
271	770	2215
272	773	2211
273	776	2211
274	779	2207
275	782	2205
276	784	2201
277	787	2198
278	790	2196
279	794	2197
280	797	2194
281	800	2191
282	803	2188
283	806	2185
284	808	2181
285	811	2179
286	814	2176
287	817	2173
288	820	2171
289	823	2168
290	825	2164
291	828	2160
292	830	2157
293	833	2153
294	837	2154
295	840	2151
296	843	2149
297	846	2146
298	848	2143
299	851	2140
300	854	2137
301	856	2133
302	859	2130
303	862	2128
304	865	2125
305	869	2124
